d,seed,method,auroc,auprc,f1,time_s
10,0,DAGMA-linear,0.5336076817558298,0.16375893483323392,0.3333333333333333,0.8
10,0,NOTEARS-linear,0.8504801097393689,0.43828756986651723,0.5714285714285714,0.2
10,1,CD-KAN,0.9349999999999999,0.5887254901960784,0.625,1.2
10,1,DAGMA-nonlinear,0.7887500000000001,0.5318716577540107,0.6666666666666666,57.7
10,1,NOTEARS-MLP,0.5062500000000001,0.11646155193423305,0.26666666666666666,1.3
10,1,DAGMA-linear,0.4875,0.12692609351873216,0.21951219512195122,1.1
10,1,NOTEARS-linear,0.8237500000000001,0.3647409656620183,0.4827586206896552,0.2
10,2,CD-KAN,0.8515535097813579,0.7623373498956444,0.8,1.2
10,2,DAGMA-nonlinear,0.5132336018411967,0.34667878691783505,0.4444444444444444,60.5
10,2,NOTEARS-MLP,0.6766398158803222,0.18035502339357906,0.3728813559322034,1.3
10,2,DAGMA-linear,0.5385500575373994,0.18720110274486473,0.3333333333333333,1.2
10,2,NOTEARS-linear,0.8020713463751439,0.3154649007643563,0.45,0.2
10,3,CD-KAN,0.8436213991769548,0.7276383910792512,0.8,1.1
10,3,DAGMA-nonlinear,0.34156378600823045,0.10767068358314175,0.23529411764705882,58.5
10,3,NOTEARS-MLP,0.6364883401920438,0.13844058772427387,0.32,1.2
10,3,DAGMA-linear,0.7722908093278463,0.3998191468779704,0.5333333333333333,1.0
10,3,NOTEARS-linear,0.7489711934156378,0.4631052753539723,0.625,0.2
10,4,CD-KAN,0.8952819332566169,0.7969613588717364,0.8421052631578947,1.1
10,4,DAGMA-nonlinear,0.4372842347525892,0.2616701774768666,0.35294117647058826,60.3
10,4,NOTEARS-MLP,0.6812428078250863,0.2766440534069472,0.4,1.5
10,4,DAGMA-linear,0.6846950517836594,0.4558869516557785,0.5555555555555556,1.1
10,4,NOTEARS-linear,0.7295742232451093,0.4307532930527583,0.5263157894736842,0.2
20,0,CD-KAN,0.9206791351638148,0.6380994840144085,0.6666666666666666,3.0
20,0,DAGMA-nonlinear,0.6981031967104391,0.36713751873100214,0.5365853658536586,102.8
20,0,NOTEARS-MLP,0.6037936065791218,0.11045815263078886,0.16666666666666666,1.7
20,0,DAGMA-linear,0.5031171242870407,0.07142563233226164,0.16216216216216217,0.9
20,0,NOTEARS-linear,0.8998540920546491,0.6188592586373469,0.6818181818181818,0.2
20,1,CD-KAN,0.8637079005350959,0.644653866888693,0.6181818181818182,2.9
20,1,DAGMA-nonlinear,0.4903997481901165,0.19327494085696845,0.3050847457627119,99.5
20,1,NOTEARS-MLP,0.6807260518308677,0.1526496283917168,0.21649484536082475,2.0
20,1,DAGMA-linear,0.48756688700031475,0.12719308439543486,0.24,1.4
20,1,NOTEARS-linear,0.8940300073444549,0.6210446509698331,0.6428571428571429,0.2
20,2,CD-KAN,0.8745585190597979,0.5785783781034605,0.5777777777777777,3.3
20,2,DAGMA-nonlinear,0.5537693338204847,0.3046996831304801,0.46153846153846156,107.8
20,2,NOTEARS-MLP,0.6314699792960663,0.1601299727010959,0.26666666666666666,2.0
20,2,DAGMA-linear,0.526001705029838,0.13947030930794313,0.2926829268292683,1.3
20,2,NOTEARS-linear,0.8532456460845207,0.500335634275319,0.6,0.2
