auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,NOTEARS,0.078,,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,GOLEM,0.201,,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,PCMCI,0.936,,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,VarLiNGAM,0.56,,43
0.9982788296041308,0.982142857142857,0.9333333333333332,1,linear_d10_n2000,linear,10,2000,43,GC-KAN,34.257,,43
0.9982788296041308,0.982142857142857,0.9333333333333332,1,linear_d10_n2000,linear,10,2000,43,GC-KAN+ALM,45.65,,43
0.621342512908778,0.1401241217787206,0.25,18,linear_d10_n2000,linear,10,2000,43,Neural-GC,12.305,,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,NTS-NOTEARS,7.528,,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,CD-KAN,1.778,3310.0,43
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,44,VAR-Lasso,0.042,,44
0.986842105263158,0.9384469696969696,0.8666666666666667,4,linear_d10_n2000,linear,10,2000,44,Correlation,0.02,,44
0.9981203007518796,0.9910714285714284,0.9629629629629628,1,linear_d10_n2000,linear,10,2000,44,NOTEARS,0.085,,44
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,44,GOLEM,0.215,,44
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,44,PCMCI,1.08,,44
1.0,0.9999999999999998,1.0,0,linear_d10_n2000,linear,10,2000,44,VarLiNGAM,0.589,,44
0.9840225563909776,0.9231877249734391,0.9285714285714286,2,linear_d10_n2000,linear,10,2000,44,GC-KAN,37.056,,44
0.9840225563909774,0.9395687645687644,0.896551724137931,3,linear_d10_n2000,linear,10,2000,44,GC-KAN+ALM,40.029,,44
0.7481203007518797,0.3482580364159311,0.5,22,linear_d10_n2000,linear,10,2000,44,Neural-GC,12.315,,44
1.0,0.9999999999999998,1.0,0,linear_d10_n2000,linear,10,2000,44,NTS-NOTEARS,43.919,,44
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,44,CD-KAN,2.001,3310.0,44
1.0,0.9999999999999998,1.0,0,linear_d20_n2000,linear,20,2000,42,VAR-Lasso,0.091,,42
0.991158267020336,0.9036966321479712,0.8275862068965517,10,linear_d20_n2000,linear,20,2000,42,Correlation,0.024,,42
0.840750564888496,0.5945572910443409,0.6190476190476191,16,linear_d20_n2000,linear,20,2000,42,NOTEARS,0.105,,42
1.0,0.9999999999999998,1.0,0,linear_d20_n2000,linear,20,2000,42,GOLEM,0.236,,42
1.0,0.9999999999999998,1.0,0,linear_d20_n2000,linear,20,2000,42,PCMCI,4.433,,42
1.0,0.9999999999999998,1.0,0,linear_d20_n2000,linear,20,2000,42,VarLiNGAM,3.473,,42
0.5670498084291187,0.0853487127487752,0.1811023622047244,208,linear_d20_n2000,linear,20,2000,42,Neural-GC,43.129,,42
0.992238923273406,0.9641733881881664,0.918032786885246,5,linear_d20_n2000,linear,20,2000,42,CD-KAN,4.443,13220.0,42
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,43,VAR-Lasso,0.064,,43
0.9902597402597404,0.909345521287484,0.8301886792452831,9,linear_d20_n2000,linear,20,2000,43,Correlation,0.024,,43
0.8825081168831168,0.8170301306167981,0.8627450980392157,7,linear_d20_n2000,linear,20,2000,43,NOTEARS,0.092,,43
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,43,GOLEM,0.247,,43
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,43,PCMCI,4.057,,43
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,43,VarLiNGAM,3.524,,43
0.747564935064935,0.1687303795758042,0.2666666666666666,77,linear_d20_n2000,linear,20,2000,43,Neural-GC,44.016,,43
0.9994926948051948,0.9939455172750102,0.9642857142857144,2,linear_d20_n2000,linear,20,2000,43,CD-KAN,4.567,13220.0,43
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,44,VAR-Lasso,0.047,,44
0.998538812785388,0.96510989010989,0.9090909090909092,3,linear_d20_n2000,linear,20,2000,44,Correlation,0.024,,44
