Price,GLD,WTI,DXY,SPX,BTC,SLV,COPPER,NG
Ticker,GLD,CL=F,DX-Y.NYB,^GSPC,BTC-USD,SLV,HG=F,NG=F
Date,,,,,,,,
2021-03-22,163.0,61.54999923706055,91.80000305175781,3940.590087890625,54529.14453125,23.940000534057617,4.14900016784668,2.5820000171661377
2021-03-23,161.80999755859375,57.7599983215332,92.33999633789062,3910.52001953125,54738.9453125,23.219999313354492,4.0879998207092285,2.507999897003174
2021-03-24,162.3699951171875,61.18000030517578,92.52999877929688,3889.139892578125,52774.265625,23.239999771118164,4.071499824523926,2.5179998874664307
2021-03-25,161.77999877929688,58.560001373291016,92.87999725341797,3909.52001953125,51704.16015625,23.290000915527344,3.984999895095825,2.569999933242798
2021-03-26,162.24000549316406,60.970001220703125,92.7699966430664,3974.5400390625,55137.3125,23.229999542236328,4.078499794006348,2.556999921798706
2021-03-27,162.24000549316406,60.970001220703125,92.7699966430664,3974.5400390625,55973.51171875,23.229999542236328,4.078499794006348,2.556999921798706
2021-03-28,162.24000549316406,60.970001220703125,92.7699966430664,3974.5400390625,55950.74609375,23.229999542236328,4.078499794006348,2.556999921798706
2021-03-29,160.30999755859375,61.560001373291016,92.94000244140625,3971.090087890625,57750.19921875,22.90999984741211,4.043000221252441,2.5859999656677246
2021-03-30,157.57000732421875,60.54999923706055,93.30000305175781,3958.550048828125,58917.69140625,22.260000228881836,3.9830000400543213,2.622999906539917
2021-03-31,159.9600067138672,59.15999984741211,93.2300033569336,3972.889892578125,58918.83203125,22.700000762939453,4.002999782562256,2.6080000400543213
2021-04-01,161.97999572753906,61.45000076293945,92.93000030517578,4019.8701171875,59095.80859375,23.149999618530273,4.003499984741211,2.6389999389648438
2021-04-02,161.97999572753906,61.45000076293945,92.93000030517578,4019.8701171875,59384.3125,23.149999618530273,4.003499984741211,2.6389999389648438
2021-04-03,161.97999572753906,61.45000076293945,92.93000030517578,4019.8701171875,57603.890625,23.149999618530273,4.003499984741211,2.6389999389648438
2021-04-04,161.97999572753906,61.45000076293945,92.93000030517578,4019.8701171875,58758.5546875,23.149999618530273,4.003499984741211,2.6389999389648438
2021-04-05,161.9199981689453,58.650001525878906,92.5999984741211,4077.909912109375,59057.87890625,23.09000015258789,4.14900016784668,2.510999917984009
2021-04-06,163.22000122070312,59.33000183105469,92.33999633789062,4073.93994140625,58192.359375,23.34000015258789,4.126500129699707,2.4560000896453857
2021-04-07,162.75999450683594,59.77000045776367,92.45999908447266,4079.949951171875,56048.9375,23.329999923706055,4.064000129699707,2.5199999809265137
2021-04-08,164.50999450683594,59.599998474121094,92.05999755859375,4097.169921875,58323.953125,23.6200008392334,4.103499889373779,2.5220000743865967
2021-04-09,163.27000427246094,59.31999969482422,92.16000366210938,4128.7998046875,58245.00390625,23.40999984741211,4.05049991607666,2.5260000228881836
